N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
-----,성수점심,https://m.place.naver.com/restaurant/1406405043/home,백옥 성수,,2024-07-15 15:16:52,500+,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-----,성수한식,https://m.place.naver.com/restaurant/1406405043/home,,,2024-07-15 15:16:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-----,성수카페,https://m.place.naver.com/restaurant/1700801654/home?entry=pll,봉땅 서울숲점,,2024-04-13 10:32:40,"25,000+","21,000+","21,000+","20,000+","20,000+","20,000+","19,000+","19,000+","19,000+","18,000+","17,000+","17,000+","16,000+","16,000+","16,000+",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,07-15,07-08,07-01,06-24,06-17,06-10,06-03,05-27,05-20,05-13,05-06,04-29,04-22,04-15,04-13,,,,,,,,,,,,,
-----,성수카페,https://m.place.naver.com/restaurant/1005093594/home?entry=pll,뉴믹스커피,,2024-04-13 10:32:04,"9,000+","9,000+","9,000+","9,000+","9,000+","9,000+","8,000+","8,000+","8,000+","7,000+","7,000+","6,000+","6,000+","5,000+","5,000+",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,07-15,07-08,07-01,06-24,06-17,06-10,06-03,05-27,05-20,05-13,05-06,04-29,04-22,04-15,04-08,04-04,,,,,,,,,,,,
-----,창원맛집,https://m.place.naver.com/restaurant/1957676611?entry=pll,거북이동네 창원상남점,,2024-04-04 15:58:09,"16,000+","14,000+","13,000+","11,000+","11,000+","10,000+","10,000+","10,000+","10,000+","10,000+","10,000+","9,000+","9,000+","9,000+","9,000+","9,000+",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,07-15,07-08,07-01,06-24,06-17,06-10,06-03,05-27,05-20,05-13,05-06,04-29,04-22,04-15,04-08,04-01,03-25,03-20,,,,,,,,,,
-----,도곡동맛집,https://m.place.naver.com/restaurant/1438780740/home?entry=pll,선재,,2024-03-20 14:31:44,"6,000+","6,000+","6,000+","6,000+","6,000+","6,000+","6,000+","6,000+","6,000+","6,000+","6,000+","5,000+","4,000+","4,000+","4,000+","4,000+","3,000+","3,000+",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,07-15,07-08,07-01,06-24,06-17,06-10,06-03,05-27,05-20,05-13,05-06,04-29,04-22,04-15,04-08,04-01,03-25,03-20,,,,,,,,,,
-----,도곡동맛집,https://m.place.naver.com/restaurant/530488654/home?entry=pll,안남,,2024-03-20 14:31:25,"29,000+","28,000+","27,000+","26,000+","26,000+","26,000+","26,000+","26,000+","25,000+","25,000+","25,000+","24,000+","24,000+","24,000+","23,000+","23,000+","22,000+","22,000+",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,07-15,07-08,07-01,06-24,06-17,06-10,06-03,05-27,05-20,05-13,05-06,04-29,04-22,04-15,04-08,04-01,03-25,03-20,,,,,,,,,,
-----,성수우동,https://m.place.naver.com/restaurant/1268725018/home?entry=pll,니카이 우동,,2024-03-20 12:15:41,"19,000+","16,000+","15,000+","14,000+","13,000+","12,000+","12,000+","11,000+","10,000+","9,000+","8,000+","8,000+","7,000+","5,000+","5,000+","4,000+","4,000+","3,000+",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,07-15,07-08,07-01,06-24,06-17,06-10,06-03,05-27,05-20,05-13,05-06,04-29,04-22,04-15,04-08,04-01,03-25,03-20,,,,,,,,,,
-----,성수카페,https://m.place.naver.com/restaurant/1020816080/home?entry=pll,브레디포스트 성수점,,2024-03-20 10:42:49,"101,000+","98,000+","98,000+","94,000+","94,000+","91,000+","88,000+","86,000+","84,000+","83,000+","83,000+","82,000+","81,000+","79,000+","78,000+","77,000+","75,000+","74,000+",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,07-15,07-08,07-01,06-24,06-17,06-10,06-03,05-27,05-20,05-13,05-06,04-29,04-22,04-15,04-08,04-01,03-25,03-20,,,,,,,,,,
-----,성수카페,https://m.place.naver.com/restaurant/1468687611/home?entry=pll,니커버커베이글 성수점,,2024-03-20 10:42:37,"28,000+","28,000+","27,000+","27,000+","27,000+","27,000+","26,000+","26,000+","26,000+","25,000+","25,000+","24,000+","24,000+","23,000+","22,000+","21,000+","20,000+","19,000+",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,07-15,07-08,07-01,06-24,06-17,06-10,06-03,05-27,05-20,05-13,05-06,04-29,04-22,04-15,04-08,04-01,03-25,03-20,,,,,,,,,,
